ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
6003628,HP111468,01/07/2008 09:30:00 AM,070XX S CLYDE AVE,460,BATTERY,SIMPLE,STREET,false,false,331,3,5,43,08B,1191431,1858622,2008,02/28/2018 03:56:25 PM,41.767059652,-87.573879775,"(41.767059652, -87.573879775)"
6003630,HP111301,12/26/2007 12:01:00 AM,024XX E 72ND ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,false,334,3,7,43,11,1193518,1857685,2007,02/28/2018 03:56:25 PM,41.764437633,-87.566260844,"(41.764437633, -87.566260844)"
6003633,HP112127,01/07/2008 05:00:00 PM,044XX N CHRISTIANA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1724,17,33,14,08B,1153254,1929298,2008,02/28/2018 03:56:25 PM,41.961842303,-87.711939463,"(41.961842303, -87.711939463)"
6003634,HP112094,01/07/2008 07:23:00 PM,012XX S WABASH AVE,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,132,1,2,33,6,1176963,1894850,2008,02/28/2018 03:56:25 PM,41.866810739,-87.625817031,"(41.866810739, -87.625817031)"
6003636,HP111708,01/07/2008 08:30:00 AM,043XX W WEST END AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1114,11,28,26,26,1147246,1900617,2008,02/28/2018 03:56:25 PM,41.88325634,-87.734764539,"(41.88325634, -87.734764539)"
6003637,HP111705,01/07/2007 12:30:00 PM,015XX N LA SALLE DR,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,1821,18,43,8,6,1174847,1910598,2007,02/28/2018 03:56:25 PM,41.910071735,-87.633113277,"(41.910071735, -87.633113277)"
6003638,HP111717,01/06/2008 05:00:00 AM,020XX W NORTH AVE,460,BATTERY,SIMPLE,SIDEWALK,false,false,1424,14,1,24,08B,1162583,1910647,2008,02/28/2018 03:56:25 PM,41.91047209,-87.678164752,"(41.91047209, -87.678164752)"
6003639,HN759808,12/14/2007 10:40:00 PM,016XX W 78TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,true,false,611,6,17,71,18,1166567,1852983,2007,02/28/2018 03:56:25 PM,41.752151765,-87.665176717,"(41.752151765, -87.665176717)"
6003640,HP111690,01/07/2008 03:00:00 PM,045XX W DIVERSEY AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,2521,25,31,20,04A,1145371,1918223,2008,02/28/2018 03:56:25 PM,41.931604751,-87.74120344,"(41.931604751, -87.74120344)"
6003641,HP105704,12/28/2007 12:00:00 PM,030XX N CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2521,25,31,19,14,1143848,1919718,2007,02/28/2018 03:56:25 PM,41.935735901,-87.746762689,"(41.935735901, -87.746762689)"
6003642,HP111639,01/07/2007 08:45:00 AM,025XX S DR MARTIN LUTHER KING JR DR,810,THEFT,OVER $500,STREET,false,false,2122,1,2,33,6,1179340,1887479,2007,02/28/2018 03:56:25 PM,41.846530166,-87.617316547,"(41.846530166, -87.617316547)"
6003643,HP107083,01/05/2008 01:45:00 AM,026XX N MULLIGAN AVE,460,BATTERY,SIMPLE,RESIDENCE,true,false,2512,25,29,19,08B,1133631,1916893,2008,02/28/2018 03:56:25 PM,41.928169463,-87.784377989,"(41.928169463, -87.784377989)"
6003644,HP111604,01/07/2008 12:00:00 PM,0000X S WABASH AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,123,1,42,32,6,1176813,1900276,2008,02/28/2018 03:56:25 PM,41.881703396,-87.626203588,"(41.881703396, -87.626203588)"
